,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
80000,0,0,0,0,-1,0,0,0,0,-1,0,-1,-1,0,0,0,0,-1,-2,0,-1,-1,-1,0,0,-2,0,0,0,0,-1,-3,0,0,-1,-3,0,-1
80001,0,0,0,0,-1,-1,-2,-2,0,0,-1,-1,0,0,-1,0,0,-1,0,0,0,0,0,-1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,-2,-1,-1
80002,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,0,-2,0,0,0,-1,-1,0,-2,0,0,-1,-1,0,-1,-1,0,-1,-1,0,0
80003,0,-1,-1,-1,0,0,0,0,-1,-1,0,-1,-1,0,0,-1,0,0,-1,-1,0,0,-1,0,-1,-1,-1,-1,0,0,0,-1,-1,0,-1,-1,0,-2
80004,0,-1,0,0,-1,-2,-1,-2,0,-3,0,-2,0,0,-2,0,0,-2,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,0,0,0,0,0
80005,0,0,-1,-1,-2,0,-1,0,-1,-1,-1,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-2,-1,0,-1,-1,-1,0
80006,0,-1,0,-1,-1,-1,0,0,-2,-1,-2,0,0,-1,0,0,0,0,-1,-2,-1,0,-1,0,0,0,-1,0,-1,0,0,0,0,-1,-1,-1,-1,0
80007,0,0,0,-1,0,-1,0,0,-1,-1,-1,0,0,-1,-2,0,0,0,0,0,-2,-1,0,-1,0,-1,-1,0,-1,0,0,0,-1,0,-2,-2,0,-1
80008,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,0,-3,-1,0,-2,0,-1,-1,-1,0,0,0,-2,-1
80009,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,-1,-1,0,-1,0,-1,0,0,0,-1,0,-1,0,-2,-1,-2,-1,-1,0,-1,0,0,0
80010,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,-2,0,0,-1,-1,-1,0,0,-1,-1,0,-1,0,-2,-1,-1,-2,-1,0,-3,-2,0,-1
80011,0,0,0,0,-1,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,-3,-2,0,-2,-1,0,-1,-2,-1,-2
80012,0,-1,-1,0,-1,0,0,-1,0,0,0,-1,-1,-1,0,0,0,-2,0,-1,-1,0,-1,0,0,-2,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1
80013,0,0,-2,0,-1,0,-1,0,-2,0,0,0,0,0,0,0,0,0,-2,-1,-2,0,0,-1,-1,-2,-1,0,-2,0,0,-1,0,0,0,-2,0,-1
80014,0,0,-2,-2,0,-1,0,0,-1,-2,0,-3,-1,0,0,0,0,0,-2,-1,-1,0,0,0,0,-3,0,0,0,0,0,0,0,0,-3,0,0,-1
80015,0,-2,-1,-2,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,-3,0,0,0,0,0,0,-1,-2,0,0,-1,0,0,0,-1,-2,-1,-1,0,0
80016,0,0,-1,-1,0,-1,0,-2,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,-2,-1,0,-1,0,0,0,0,-2,-1,0,0,-1
80017,0,0,-1,-1,-1,-2,0,0,-1,0,0,-1,-1,0,-1,0,0,0,0,0,-2,0,0,0,-3,0,-1,0,0,0,-1,-1,-1,0,-2,-1,0,0
80018,0,0,-1,0,0,0,0,-1,-1,0,0,-1,0,0,-1,0,0,-3,-2,-1,0,0,0,-2,0,-2,-1,0,-1,0,0,-1,-2,0,0,0,0,-1
